league_id,home_id,away_id,date,time,venue
204706,58860,58854,02/08/2025,13:30,École secondaire De Rochebelle
204706,58870,58862,02/08/2025,15:00,Parc Henri-Julien
204704,90651,58860,31/05/2025,15:00,Heritage College
204704,58872,58862,31/05/2025,15:00,Cegep Vanier
204704,58860,58872,07/06/2025,13:00,École secondaire De Rochebelle
204704,58862,90651,07/06/2025,13:30,Ecole St-Georges
204704,58862,58860,14/06/2025,12:00,Ecole St-Georges
204704,90651,58872,14/06/2025,12:30,Heritage College
204704,58862,58872,28/06/2025,12:00,Ecole St-Georges
204704,90651,58860,28/06/2025,15:00,Heritage College
204704,58872,58860,05/07/2025,11:40,Cegep Vanier
204704,90651,58862,05/07/2025,12:30,Heritage College
204704,58860,90651,12/07/2025,00:00,École secondaire De Rochebelle
204704,58862,58872,12/07/2025,13:30,Ecole St-Georges
204704,58860,58862,26/07/2025,15:00,École secondaire De Rochebelle
204704,58872,90651,26/07/2025,15:40,Cegep Vanier
